Index;Fuel type;Body type;Engine;Gearbox;Doors;Seats;Emission;Service history
0;Diesel;Hatchback;1.4L;Manual;5;5;Euro 6;Null
1;Petrol;Hatchback;1.2L;Manual;3;5;Euro 4;Full
2;Petrol;Hatchback;1.4L;Manual;5;5;Euro 5;Null
3;Petrol;Hatchback;1.4L;Manual;3;4;Euro 4;Full
4;Diesel;Hatchback;1.3L;Manual;5;5;Euro 5;Null
5;Petrol;Coupe;2.0L;Manual;3;4;Euro 4;Null
6;Petrol;Hatchback;1.6L;Manual;5;5;Euro 4;Null
7;Petrol;Hatchback;1.2L;Manual;3;5;Euro 4;Null
8;Petrol;Estate;2.3L;Automatic;5;;Null;
9;Diesel;Hatchback;1.6L;Manual;5;5;Euro 4;Null
10;Diesel;Hatchback;1.6L;Manual;3;5;Euro 4;Full
11;Petrol;Hatchback;1.8L;Manual;5;5;Euro 5;Null
12;Diesel;Hatchback;1.4L;Manual;5;5;Euro 6;Null
14;Petrol Plug-in Hybrid;Saloon;2.0L;Automatic;4;5;Euro 6;Null
15;Petrol;Hatchback;1.0L;Manual;3;4;Euro 4;Null
16;Petrol;Hatchback;1.4L;Manual;5;5;euro 4;Null
17;Diesel;Hatchback;1.6L;Manual;5;5;Euro 4;Null
18;Diesel;Hatchback;1.6L;Manual;5;5;Euro 4;Null
19;Petrol;Hatchback;1.8L;Automatic;5;5;Euro 4;Null
20;Diesel;Hatchback;1.6L;Manual;5;5;Euro 5;Null
21;Diesel;Hatchback;1.8L;Manual;5;5;Euro 4;Null
22;Petrol;Hatchback;1.3L;Manual;5;5;Euro 6;Null
23;Petrol;Coupe;3.0L;Automatic;2;4;Euro 4;Null
24;Petrol;Hatchback;1.3L;Manual;3;4;Euro 3;Null
25;Petrol;Hatchback;1.8L;Manual;5;5;Euro 5;Null
26;Petrol;Hatchback;1.3L;Automatic;5;5;Euro 6;Null
28;Diesel;Hatchback;1.5L;Manual;5;5;Euro 6;Null
29;Petrol;Hatchback;1.6L;Manual;5;5;Euro 5;Null
30;Diesel;Hatchback;1.9L;Manual;5;5;Euro 4;Full
31;Diesel;Hatchback;1.8L;Manual;5;5;Euro 4;Null
32;Petrol;Hatchback;1.3L;Manual;5;5;Euro 4;Null
33;Petrol;Convertible;2.0L;Automatic;2;4;Euro 4;Null
34;Petrol;Hatchback;1.2L;Manual;5;5;Euro 5;Full
35;Petrol;Coupe;2.0L;Manual;2;4;Euro 5;Null
36;Petrol;Hatchback;1.4L;Manual;3;5;Euro 4;Null
37;Petrol;Hatchback;1.4L;Manual;5;5;Euro 5;Full
38;Petrol;Hatchback;1.4L;Manual;5;5;Euro 5;Full
39;Diesel;Hatchback;1.2L;Manual;5;5;Euro 5;Null
40;Petrol;Hatchback;1.3L;Automatic;5;5;Euro 6;Null
42;Petrol;Hatchback;1.2L;Manual;5;5;Euro 6;Null
43;Petrol;Hatchback;1.2L;Manual;3;5;Euro 4;Null
44;Petrol;Hatchback;1.8L;Automatic;5;5;Euro 4;Null
45;Petrol;Hatchback;1.2L;Manual;3;5;Euro 4;Null
46;Petrol;Hatchback;1.8L;Manual;5;5;Euro 4;Full
47;Petrol;Hatchback;1.4L;Automatic;5;5;Euro 4;Null
48;Petrol;Saloon;1.9L;Automatic;4;5;Euro 3;Null
49;Petrol;Hatchback;1.6L;Automatic;5;5;Euro 3;Null
50;Petrol;Hatchback;1.2L;Manual;5;5;Euro 4;Null
51;Petrol;Hatchback;1.4L;Manual;3;5;Euro 5;Null
52;Petrol;Estate;2.4L;Manual;5;5;Euro 4;Full
53;Petrol;Hatchback;1.2L;Manual;3;5;Euro 5;Null
54;Petrol;Hatchback;1.2L;Manual;5;5;Euro 6;Null
56;Petrol Plug-in Hybrid;Saloon;2.0L;Automatic;4;5;Euro 6;Null
57;Petrol;Hatchback;1.8L;Manual;5;5;Euro 4;Null
58;Petrol;Hatchback;1.6L;Manual;5;5;Euro 4;Null
59;Petrol;Hatchback;1.8L;Manual;5;5;Euro 4;Null
60;Petrol;Hatchback;1.4L;Manual;5;5;Euro 4;Null
61;Petrol;Hatchback;1.4L;Manual;3;5;euRO 4;Null
62;Petrol;Convertible;2.0L;Manual;2;4;Euro 4;Null
63;Petrol;Hatchback;1.4L;Manual;5;5;Euro 5;Null
64;Petrol;Hatchback;1.8L;Manual;5;5;Euro 5;Null
65;Petrol;MPV;2.0L;Automatic;5;5;Euro 4;Null
66;Petrol;Hatchback;1.8L;Automatic;5;5;Euro 4;Null
67;Petrol;Hatchback;1.0L;Manual;3;5;Euro 6;Null
68;Petrol;Hatchback;1.5L;Manual;3;4;Euro 6;Null
70;Petrol Plug-in Hybrid;Saloon;2.0L;Automatic;4;5;Euro 6;Null
71;Diesel;Hatchback;2.2L;Manual;3;5;Euro 4;Null
72;Petrol;Hatchback;1.0L;Manual;3;4;Euro 4;Null
73;Petrol;Hatchback;1.2L;Manual;3;5;Euro 5;Null
74;Petrol;Hatchback;1.4L;Manual;3;5;euro 4;Null
75;Petrol;Hatchback;1.4L;Manual;5;5;Euro 4;Null
76;Diesel;Hatchback;1.2L;Manual;5;5;Euro 5;Null
77;Petrol;Hatchback;1.4L;Manual;5;5;Euro 3;Null
78;Petrol;Hatchback;1.0L;Manual;5;5;Euro 5;Null
79;Petrol;Hatchback;1.6L;Manual;5;5;Euro 3;Null
80;Petrol;Saloon;1.6L;Manual;4;5;Euro 4;Full
81;Petrol;Hatchback;1.2L;Manual;3;5;Euro 5;Null
82;Diesel;Hatchback;1.6L;Manual;5;5;Euro 6;Null
84;Petrol;Hatchback;1.3L;Automatic;5;5;Euro 6;Null
85;Petrol;Hatchback;3.0L;Manual;5;5;Euro 4;Null
86;Petrol;Hatchback;1.0L;Manual;3;5;Euro 6;Null
87;Diesel;MPV;1.3L;Manual;5;5;Euro 5;Null
88;Petrol;MPV;1.5L;Manual;5;5;Euro 4;Null
89;Petrol;Saloon;1.6L;Manual;4;5;Euro 4;Full
90;Petrol;Saloon;2.0L;Manual;4;5;Euro 5;Null
91;Petrol;Coupe;3.5L;Manual;2;2;Euro 3;Full
92;Petrol;Hatchback;1.6L;Manual;3;4;Euro 4;Full
93;Petrol;Hatchback;1.4L;Manual;3;4;Euro 5;Null
94;Petrol;Saloon;2.0L;Manual;4;5;Euro 4;Null
95;Petrol;Hatchback;1.2L;Manual;3;5;Euro 5;Null
96;Petrol;Hatchback;1.3L;Automatic;5;5;Euro 6;Null
98;Petrol;Hatchback;1.2L;Manual;5;5;euro 6;Null
99;Petrol;Hatchback;1.6L;Manual;5;5;Euro 5;Null
100;Petrol;Hatchback;1.4L;Manual;5;5;Euro 5;Null
101;Diesel;Saloon;1.5L;Manual;4;5;Null;
102;Petrol;Hatchback;1.4L;Manual;3;5;Euro 4;Null
103;Petrol;Saloon;3.2L;Automatic;4;5;Euro 4;Null
104;Petrol;Saloon;1.8L;Automatic;4;5;Euro 3;Null
105;Petrol;Saloon;2.0L;Manual;4;5;Euro 4;Null
106;Petrol;Saloon;2.0L;Manual;4;5;Euro 5;Null
107;Petrol;Hatchback;1.4L;Manual;5;5;Euro 5;Null
108;Petrol;Hatchback;1.8L;Manual;5;5;Euro 5;Null
109;Petrol;Hatchback;1.2L;Manual;3;5;Euro 5;Null
110;Petrol;Hatchback;1.2L;Manual;5;5;Euro 6;Null
112;Petrol;SUV;1.6L;Manual;5;5;Euro 6;Null
113;Petrol;Hatchback;1.6L;Manual;3;5;Euro 3;Null
114;Diesel;Hatchback;2.5L;Manual;5;;Euro 2;Null
115;Petrol;Saloon;1.9L;Manual;4;5;Euro 3;Null
116;Petrol;Hatchback;1.6L;Manual;3;4;Euro 3;Null
